SCI_ID,SCI_NAME,RES_ID,RES_AREA,Key,AFFIL,SIZE,WEB,HOME
001,Linda A. Amaral Zettler,1,Marine Biology & Diversity,MBL0,MBL Resident Scientist,1,http://amarallab.mbl.edu/,Marine Biological Laboratory
001,Linda A. Amaral Zettler,2,Microbiomes,MBL1,MBL Resident Scientist,1,http://amarallab.mbl.edu/,Marine Biological Laboratory
001,Linda A. Amaral Zettler,3,"Ecology, Ecosystems & Global Change",MBL2,MBL Resident Scientist,1,http://amarallab.mbl.edu/,Marine Biological Laboratory
002,Simon Alford,4,Neuroscience,MBL3,Whitman Scientist,1,http://bios.uic.edu/bios/people/faculty/simon-alford,University of Illinois at Chicago
002,Simon Alford,5,Cell Biology & Imaging,MBL4,Whitman Scientist,1,http://bios.uic.edu/bios/people/faculty/simon-alford,University of Illinois at Chicago
002,Simon Alford,6,Computation & Modeling,MBL5,Whitman Scientist,1,http://bios.uic.edu/bios/people/faculty/simon-alford,University of Illinois at Chicago
003,Melina Hale,7,Evolution,MBL6,MBL Fellow,1,http://pondside.uchicago.edu/oba/faculty/hale_m.html,University of Chicago
003,Melina Hale,4,Neuroscience,MBL7,MBL Fellow,1,http://pondside.uchicago.edu/oba/faculty/hale_m.html,University of Chicago
004,Irina R. Arkhipova,7,Evolution,MBL8,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/arkhipova/,Marine Biological Laboratory
004,Irina R. Arkhipova,8,Genomics,MBL9,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/arkhipova/,Marine Biological Laboratory
005,Jonathan D. Gitlin,9,Models of Human Disease,MBL10,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jonathan-gitlin/,Marine Biological Laboratory
005,Jonathan D. Gitlin,4,Neuroscience,MBL11,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jonathan-gitlin/,Marine Biological Laboratory
005,Jonathan D. Gitlin,10,Regeneration & Development,MBL12,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jonathan-gitlin/,Marine Biological Laboratory
006,Jane Maienschein,1,Marine Biology & Diversity,MBL13,MBL Fellow,1,http://www.mbl.edu/research/mbl-fellows/jane-maienschein/,University of Arizona
006,Jane Maienschein,10,Regeneration & Development,MBL14,MBL Fellow,1,http://www.mbl.edu/research/mbl-fellows/jane-maienschein/,University of Arizona
006,Jane Maienschein,11,History/Philosophy of Science,MBL15,MBL Fellow,1,http://www.mbl.edu/research/mbl-fellows/jane-maienschein/,University of Arizona
007,Zoe G. Cardon,2,Microbiomes,MBL16,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/staff/cardon/,Marine Biological Laboratory
007,Zoe G. Cardon,3,"Ecology, Ecosystems & Global Change",MBL17,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/staff/cardon/,Marine Biological Laboratory
007,Zoe G. Cardon,5,Cell Biology & Imaging,MBL18,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/staff/cardon/,Marine Biological Laboratory
008,Linda A. Deegan,1,Marine Biology & Diversity,MBL19,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/deegan/,Marine Biological Laboratory
008,Linda A. Deegan,3,"Ecology, Ecosystems & Global Change",MBL20,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/deegan/,Marine Biological Laboratory
008,Linda A. Deegan,8,Genomics,MBL21,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/deegan/,Marine Biological Laboratory
009,Anne E. Giblin,3,"Ecology, Ecosystems & Global Change",MBL22,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/giblin/,Marine Biological Laboratory
009,Anne E. Giblin,1,Marine Biology & Diversity,MBL23,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/giblin/,Marine Biological Laboratory
009,Anne E. Giblin,2,Microbiomes,MBL24,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/faculty/giblin/,Marine Biological Laboratory
010,Kristin Gribble,9,Models of Human Disease,MBL25,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/gribble/,Marine Biological Laboratory
010,Kristin Gribble,1,Marine Biology & Diversity,MBL26,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/gribble/,Marine Biological Laboratory
010,Kristin Gribble,7,Evolution,MBL27,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/gribble/,Marine Biological Laboratory
011,Roger T. Hanlon,1,Marine Biology & Diversity,MBL28,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/hanlon/,Marine Biological Laboratory
011,Roger T. Hanlon,4,Neuroscience,MBL29,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/hanlon/,Marine Biological Laboratory
011,Roger T. Hanlon,5,Cell Biology & Imaging,MBL30,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/hanlon/,Marine Biological Laboratory
012,Marko E. Horb,9,Models of Human Disease,MBL31,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/marko-horb/,Marine Biological Laboratory
012,Marko E. Horb,10,Regeneration & Development,MBL32,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/marko-horb/,Marine Biological Laboratory
012,Marko E. Horb,8,Genomics,MBL33,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/marko-horb/,Marine Biological Laboratory
013,Julie Huber,3,"Ecology, Ecosystems & Global Change",MBL34,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/huber/,Marine Biological Laboratory
013,Julie Huber,1,Marine Biology & Diversity,MBL35,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/huber/,Marine Biological Laboratory
013,Julie Huber,2,Microbiomes,MBL36,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/huber/,Marine Biological Laboratory
014,Alan M. Kuzirian,5,Cell Biology & Imaging,MBL37,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/kuzirian-lab/,Marine Biological Laboratory
014,Alan M. Kuzirian,1,Marine Biology & Diversity,MBL38,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/kuzirian-lab/,Marine Biological Laboratory
014,Alan M. Kuzirian,4,Neuroscience,MBL39,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/kuzirian-lab/,Marine Biological Laboratory
015,Andrew Latimer,5,Cell Biology & Imaging,MBL40,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/andrew-latimer/,Marine Biological Laboratory
015,Andrew Latimer,9,Models of Human Disease,MBL41,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/andrew-latimer/,Marine Biological Laboratory
015,Andrew Latimer,10,Regeneration & Development,MBL42,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/andrew-latimer/,Marine Biological Laboratory
016,Elaine Bearer,12,Undefined,MBL43,Whitman Scientist,1,http://pathology.unm.edu/faculty/faculty/ebearer.html,University of New Mexico
017,David Mark Welch,7,Evolution,MBL44,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchd/,Marine Biological Laboratory
017,David Mark Welch,8,Genomics,MBL45,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchd/,Marine Biological Laboratory
017,David Mark Welch,9,Models of Human Disease,MBL46,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchd/,Marine Biological Laboratory
018,Jessica Mark Welch,5,Cell Biology & Imaging,MBL47,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchj/,Marine Biological Laboratory
018,Jessica Mark Welch,8,Genomics,MBL48,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchj/,Marine Biological Laboratory
018,Jessica Mark Welch,2,Microbiomes,MBL49,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/markwelchj/,Marine Biological Laboratory
019,Lydia Mathger,7,Evolution,MBL50,MBL Resident Scientist,1,http://www.mbl.edu/bell/lydia-mathger/,Marine Biological Laboratory
019,Lydia Mathger,1,Marine Biology & Diversity,MBL51,MBL Resident Scientist,1,http://www.mbl.edu/bell/lydia-mathger/,Marine Biological Laboratory
019,Lydia Mathger,6,Computation & Modeling,MBL52,MBL Resident Scientist,1,http://www.mbl.edu/bell/lydia-mathger/,Marine Biological Laboratory
020,Shalin Mehta,5,Cell Biology & Imaging,MBL53,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/shalin-mehta/,Marine Biological Laboratory
020,Shalin Mehta,6,Computation & Modeling,MBL54,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/shalin-mehta/,Marine Biological Laboratory
020,Shalin Mehta,10,Regeneration & Development,MBL55,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/shalin-mehta/,Marine Biological Laboratory
021,Jerry M. Melillo,6,Computation & Modeling,MBL56,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/staff/melillo/,Marine Biological Laboratory
021,Jerry M. Melillo,3,"Ecology, Ecosystems & Global Change",MBL57,MBL Resident Scientist,1,http://www.mbl.edu/ecosystems/staff/melillo/,Marine Biological Laboratory
022,Jennifer R. Morgan,9,Models of Human Disease,MBL58,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jennifer-morgan/,Marine Biological Laboratory
022,Jennifer R. Morgan,10,Regeneration & Development,MBL59,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jennifer-morgan/,Marine Biological Laboratory
022,Jennifer R. Morgan,4,Neuroscience,MBL60,MBL Resident Scientist,1,http://www.mbl.edu/bell/current-faculty/jennifer-morgan/,Marine Biological Laboratory
023,Hilary Gonzalez Morrison,8,Genomics,MBL61,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/morrison/,Marine Biological Laboratory
023,Hilary Gonzalez Morrison,2,Microbiomes,MBL62,MBL Resident Scientist,1,http://www.mbl.edu/jbpc/staff/morrison/,Marine Biological Laboratory
